開講年度,開講箇所,科目名,担当教員,学期曜日時限,科目区分,配当年次,単位数,使用教室,キャンパス,授業で使用する言語,授業方法区分,レベル,授業形態,副題,授業概要,授業の到達目標,事前・事後学習の内容,授業計画,教科書,参考文献,成績評価方法,備考・関連URL
2025年度,法学部,English: Theme ４２（秋）,鈴木 武生,秋学期  水２時限,既習外国語 英語(Theme),２年以上,1,１０-３０２,"早稲田
科目キー  120000201F  科目クラスコード  42",指定なし,"【対面】
  コース・コード  LANE201F
大分野名称  語学
中分野名称  英語
小分野名称  英語",中級レベル（発展・応用）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",幸福で平等な社会の処方箋―集団主義の年功序列型社会か個人主義の実力主義型社会か？,"本クラスでは
""The Tyranny of Merit: What's Become of the Common Good?""(Michael J. Sandel, 2020)
""Japan As Number One: Lessons for America""(Vogel, Ezra F., 1991)
のテキストを抜粋し、「幸福で平等な社会の処方箋は、集団主義の年功序列型社会か個人主義の実力主義型社会か？」というテーマについて考察する。",本コースは、それぞれの国の文化のイメージを構成する表面的な現象の裏に、どのような各文化圏独自の思考や原理が働いているのかについて考察する知的とレーニングを行うことを目標とする。,"毎回課題／宿題が出されるため準備しておくこと。当日課題／宿題をやってきたかどうか、また発表したかどうかは成績考査の重要な対象となる。
授業では講読、解説、ディスカッションを一つのサイクルとするが、それ以外にも発表やLINEを用いた投稿を行う。その他のアプローチも現在検討中で、事業開始時に指示する。","1:
第１回
オリエンテーション、勝者か負け犬か？
2:
第２回
勝者か負け犬か？
3:
第３回
勝者か負け犬か？
4:
第４回
実力主義の系譜
5:
第５回
実力主義の系譜
6:
第６回
実力主義の系譜
7:
第７回
成功と論理
8:
第８回
成功と論理
9:
第９回
成功と論理
10:
第１０回
日本の成功
11:
第１１回
日本の成功
12:
第１２回
日本の成功
13:
第１３回
日本の成功
14:
第１４回
アメリカにとって当時の日本から学べることは？",毎回本のプリントまたは論文や記事のプリントを事前に配布するので特定の教科書は不要。,特にないが、必要に応じて授業内で指示する。,"割合  評価基準
試験:  50％  成績採点基準は本校の基準に従う（最低60点が必要であり、出席が満たされていても不合格になる場合がある）。
試験では出題範囲を指定した上で、辞書などの持込みは実施前に発表する。試験評価は、講読テキスト内に書いてあることを超え、授業中で解説した内容に自分のアイデアと分析を加えたものが、B以上の評価となるので、授業内での解説に注意。
追試は行わない。
レポート:  実施する場合は、下記平常点評価に含めた形で評価する。
平常点評価:  30％  出席率は70％を成績評価のための足切り基準とする。その上で、出席率、授業参加態度（寝ている、遅刻する、授業中別の作業をやっているなど）などは減点材料となるので要注意。また指示された担当範囲（和訳など）を期日に提出しない、または欠席により発表しない場合、減点対象となる。
クラブの試合、就職活動などによる欠席については一定の考慮はするが、一定の制約または条件下範囲の中でのことなので注意（不足分を別の課題提出で補う場合もある）。課題準備をしていない、もしくは発表当日に出席がない場合はテストスコアから減点されるので注意。
その他:  20％  クラス内アクティビティーでの参加度（ディスカッションと発言）がこの対象になる。授業中に受講生に質問したり意見を求める場合があるが、これに対する応答も成績考査の対象となる（「分かりません」、「前の人と同じ意見です」は評価対象とならない）。
また、本コースを含むすべてのThemeクラスでは、英語による1000エッセイの提出が必須課題となっている。この提出は、出席率とともに単位習得の前提になるので注意。","〇課題訳のアップロード方式
関連資料はpdf化したものをWaseda Moodleにアップする。また提出課題がある場合にはクラス・氏名を記したMSワードファイル／mp3ファイル／mp4ファイルをドロップボックスにアップすることを計画中（Moodleまたは他のストレッジも検討中）。
〇連絡先
鈴木の連絡先はasiaeuro.suzuki@gmail.com。メールを送る際には早稲田大学法学部クラス名+氏名を明記すること。
授業資料の緊急配布および緊急連絡用としてライングループチャットを使用する、加入は強制ではないが最新情報をリアルタイムで入手するなら参加するのが望ましい（開講後指示する）。
〇４年の履修生
4年生以上の再履修生は、不合格が卒業にも関係する場合があるので履修単位に注意すること。
〇関連資料
必要に応じて適宜関連資料を配布する（MoodleおよびLine経由）。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=120000201F422025120000201F12"
2025年度,法学部,独語初級 II（基礎） １Ｄ,河村 麻里子,秋学期  01:水２時限／02:金２時限,未習外国語 独語(初級),１年以上,2,01:３-２０３（CTLT Classroom3）／02:３-２０１（CTLT Classroom1）,"早稲田
科目キー  12000023A2  科目クラスコード  01",指定なし,"【対面】
  コース・コード  LANG101F
大分野名称  語学
中分野名称  ドイツ語
小分野名称  ドイツ語",初級レベル（入門・導入）,"外国語
シラバス情報",,"「読む」「聴く」「話す（やりとり）」「話す（発表）」「書く」の4技能5領域を総合的に発展させ、ドイツ語コミュニケーション能力の育成を目指す「総合コミュニケーションコース」です。ドイツで作成された統一教材を用います。担当教員がチームとして授業を展開していきますので、2年間一貫したカリキュラムで勉強できます。
1年次は週3回（6単位）の授業のうち、週2回（4単位）は日本人教員、週1回（2単位）はドイツ語ネイティブスピーカーが担当します。2年次は日本人教員、ドイツ語ネイティブスピーカーの授業が各1回ずつとなります。「総合コミュニケーションコース」では、2年間同一クラスで、1年次・2年次とも、各クラスに指定された授業を履修します。",ドイツ語の基礎を、文法だけでなく、語彙、表現を含めて総合的に学び、身近な話題について自ら発信できるドイツ語力を身につけることを目標とします。その際、ドイツの文化を知るとともに、異文化比較の視点から、ドイツ・ヨーロッパとの比較で、自分自身と日本についてドイツ語で発信することを目指します。1年終了時の到達目標レベルは 欧州評議会で定められたヨーロッパ言語共通参照枠（CEFR）のA１（よく使われる日常的表現と基本的な言い回しは理解し、用いることができる）、2年次終了後までの到達目標レベルはA2（日常的な状況で使用する文や表現を理解し、使いこなせる）です。,事前の準備学習および事後学習については、各教員の指示にしたがってください。ただし、事後学習をどれだけ丁寧に行うかが語学の習得にとっては大変重要ですので、作業的に宿題をこなすだけではなく、学習内容を定着させるという意識で事後学習にのぞんでください。,春学期でA1の前半を、秋学期でA1の後半を扱います。初回授業時に確認してください。,Das Leben A1（Cornelsen Verlag）,,"試験：50％（試験または課題の成績）
平常点評価：50%（出席状況、授業における活動状況、宿題、小テストの成績等）
以上の割合は目安です。各教員ごとに異なる場合がありますので、各クラスにて確認してください。
備考・関連URL",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000023A201202512000023A212開講年度
2025年度,法学部,独語初級 II（演習） ２Ｄ,シュミット ウテ,秋学期  水２時限,未習外国語 独語(初級),１年以上,1,８-４０４,"早稲田
科目キー  12000023A4  科目クラスコード  02",指定なし,"【対面】
  コース・コード  LANG101F
大分野名称  語学
中分野名称  ドイツ語
小分野名称  ドイツ語",初級レベル（入門・導入）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",,"「読む」「聴く」「話す（やりとり）」「話す（発表）」「書く」の4技能5領域を総合的に発展させ、ドイツ語コミュニケーション能力の育成を目指す「総合コミュニケーションコース」です。ドイツで作成された統一教材を用います。担当教員がチームとして授業を展開していきますので、2年間一貫したカリキュラムで勉強できます。
1年次は週3回（6単位）の授業のうち、週2回（4単位）は日本人教員、週1回（2単位）はドイツ語ネイティブスピーカーが担当します。2年次は日本人教員、ドイツ語ネイティブスピーカーの授業が各1回ずつとなります。「総合コミュニケーションコース」では、2年間同一クラスで、1年次・2年次とも、各クラスに指定された授業を履修します。",ドイツ語の基礎を、文法だけでなく、語彙、表現を含めて総合的に学び、身近な話題について自ら発信できるドイツ語力を身につけることを目標とします。その際、ドイツの文化を知るとともに、異文化比較の視点から、ドイツ・ヨーロッパとの比較で、自分自身と日本についてドイツ語で発信することを目指します。1年終了時の到達目標レベルは 欧州評議会で定められたヨーロッパ言語共通参照枠（CEFR）のA１（よく使われる日常的表現と基本的な言い回しは理解し、用いることができる）、2年次終了後までの到達目標レベルはA2（日常的な状況で使用する文や表現を理解し、使いこなせる）です。,事前の準備学習および事後学習については、各教員の指示にしたがってください。ただし、事後学習をどれだけ丁寧に行うかが語学の習得にとっては大変重要ですので、作業的に宿題をこなすだけではなく、学習内容を定着させるという意識で事後学習にのぞんでください。,春学期でA1の前半を、秋学期でA1の後半を扱います。初回授業時に確認してください。,Das Leben A1（Cornelsen Verlag）,,"試験：50％（試験または課題の成績）
平常点評価：50%（出席状況、授業における活動状況、宿題、小テストの成績等）
以上の割合は目安です。各教員ごとに異なる場合がありますので、各クラスにて確認してください。
備考・関連URL",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000023A402202512000023A412開講年度
2025年度,法学部,独語初級 II（演習） ３Ｄ,ククリンスキ ルーベン,秋学期  水２時限,未習外国語 独語(初級),１年以上,1,８-４０２,"早稲田
科目キー  12000023A4  科目クラスコード  03",指定なし,"【対面】
  コース・コード  LANG101F
大分野名称  語学
中分野名称  ドイツ語
小分野名称  ドイツ語",初級レベル（入門・導入）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",,"「読む」「聴く」「話す（やりとり）」「話す（発表）」「書く」の4技能5領域を総合的に発展させ、ドイツ語コミュニケーション能力の育成を目指す「総合コミュニケーションコース」です。ドイツで作成された統一教材を用います。担当教員がチームとして授業を展開していきますので、2年間一貫したカリキュラムで勉強できます。
1年次は週3回（6単位）の授業のうち、週2回（4単位）は日本人教員、週1回（2単位）はドイツ語ネイティブスピーカーが担当します。2年次は日本人教員、ドイツ語ネイティブスピーカーの授業が各1回ずつとなります。「総合コミュニケーションコース」では、2年間同一クラスで、1年次・2年次とも、各クラスに指定された授業を履修します。",ドイツ語の基礎を、文法だけでなく、語彙、表現を含めて総合的に学び、身近な話題について自ら発信できるドイツ語力を身につけることを目標とします。その際、ドイツの文化を知るとともに、異文化比較の視点から、ドイツ・ヨーロッパとの比較で、自分自身と日本についてドイツ語で発信することを目指します。1年終了時の到達目標レベルは 欧州評議会で定められたヨーロッパ言語共通参照枠（CEFR）のA１（よく使われる日常的表現と基本的な言い回しは理解し、用いることができる）、2年次終了後までの到達目標レベルはA2（日常的な状況で使用する文や表現を理解し、使いこなせる）です。,事前の準備学習および事後学習については、各教員の指示にしたがってください。ただし、事後学習をどれだけ丁寧に行うかが語学の習得にとっては大変重要ですので、作業的に宿題をこなすだけではなく、学習内容を定着させるという意識で事後学習にのぞんでください。,春学期でA1の前半を、秋学期でA1の後半を扱います。初回授業時に確認してください。,Das Leben A1（Cornelsen Verlag）,,"試験：50％（試験または課題の成績）
平常点評価：50%（出席状況、授業における活動状況、宿題、小テストの成績等）
以上の割合は目安です。各教員ごとに異なる場合がありますので、各クラスにて確認してください。
備考・関連URL",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000023A403202512000023A412開講年度
2025年度,法学部,独語初級 II（演習） ６Ｄ,グユルベルク ニールス,秋学期  水２時限,未習外国語 独語(初級),１年以上,1,８-４０３,"早稲田
科目キー  12000023A4  科目クラスコード  06",指定なし,"【対面】
  コース・コード  LANG101F
大分野名称  語学
中分野名称  ドイツ語
小分野名称  ドイツ語",初級レベル（入門・導入）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",,日本人教員が担当する「基礎」（週2回）と、ドイツ語ネイティブスピーカーが担当する「演習」（週1回）とで進められます。「基礎」と「演習」はそれぞれ独立した内容です。教材は、各教員が指定したものを使用します。「基礎」では、接続法（英語の仮定法に相当）までのドイツ語文法の基礎を一年間で一通り学習し、クラスによっては、柔軟な読解力やコミュニケーション能力の養成を目指した発展的な学習も行います。「演習」では、ドイツ語ネイティブスピーカーにより、会話や作文等の、実践的なドイツ語運用能力を発展させるための指導が行われます。,ドイツ語文法の基礎をしっかりと身につけながら基本的な語彙や表現も習得し、2年次以降の発展的学習を支える基盤を作ります。さらに、テキストの読解やコミュニケーションのための基本的な訓練を行い、ドイツ語圏からの情報を得るための、あるいはドイツ語での交流を行うための基礎的な力を身につけることを目標とします。,事前の準備学習および事後学習については、各教員の指示にしたがってください。ただし、事後学習をどれだけ丁寧に行うかが語学の習得にとっては大変重要ですので、作業的に宿題をこなすだけではなく、学習内容を定着させるという意識で事後学習にのぞんでください。,授業計画は各教員ごとに異なります。初回授業時に確認してください。,各教員が指定する教科書を用います。,,"試験50％
平常点評価50％
以上の割合は目安です。各教員ごとに異なる場合がありますので、各クラスにて確認してください。
備考・関連URL",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000023A406202512000023A412
2025年度,法学部,仏語初級 II（演習） ７Ｆ,マニゴ ヴァンサン,秋学期  水２時限,未習外国語 仏語(初級),１年以上,1,８-３１１,"早稲田
科目キー  12000023B4  科目クラスコード  07",指定なし,"【対面】
  コース・コード  LANF101F
大分野名称  語学
中分野名称  フランス語
小分野名称  フランス語",初級レベル（入門・導入）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",,初めてフランス語を学ぶ人を対象とした授業です。週1回、主に会話的な表現を学びます。秋学期は、過去や未来のこと、仮定のことなどについての会話が可能になるよう、口頭表現と聞き取りを学びます。,2年次の中級Ⅰにつながるレベルまでの到達を目指します。2年次には中級Ⅰの授業を最低週1回取ってもらい、フランス語の基礎力を確実に身につけることが目標です。具体的には、身近な話題を理解し、簡単なことがらを表現でき、短い簡単な手紙を書ける程度のレベルです（ヨーロッパ言語共通参照枠A2）。,春学期から引き続き、授業内容の復習が不可欠です。一方、練習問題などの予習が必要になっていきます。,春学期で学んだことを前提に、過去や未来のこと、仮定のことなどについての口頭表現と聞き取りを順番に学んでいきます。,未定,授業で指示します,"割合  評価基準
試験:  70％  期末試験および小テストの成績
平常点評価:  30％  出席状況、授業における活動状況、宿題等。なお、左記の割合は目安であり、クラスにより異なることがある。
備考・関連URL",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000023B407202512000023B412開講年度
2025年度,法学部,中国語初級 II（演習） ３Ｃ,李 立冰,秋学期  水２時限,未習外国語 中国語(初級),１年以上,1,１０-３０６,"早稲田
科目キー  12000023C4  科目クラスコード  03",指定なし,"【対面】
  コース・コード  LANC101F
大分野名称  語学
中分野名称  中国語
小分野名称  中国語",初級レベル（入門・導入）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",,"◇未習中国語 外国語Ａ（8単位）／未習中国語 外国語Ｂ（10単位）共通
- 日本人教員による「基礎」（週2）と中国人教員による「演習」（週1）の計3コマを受講する。
- 中国語の基礎力の定着をめざすべく、口頭表現の訓練に重点を置き、発音の練習や文法・単語の学習を進める。
※2年次「中級」に進級した際の学修の連繋について
- 外国語Ａ：２年次の中級では、日本人教員もしくは中国人教員によるテーマ別科目を各自が週1コマ選択履修する。
- 外国語Ｂ：初～中級を2年間同一クラスで学ぶ一貫コース。
 ２年次は日本人教員による「総合」（週1）と中国人教員による「コミュニケーション」（週1）の計2コマを受講する。","◇未習中国語 外国語Ａ（8単位）／未習中国語 外国語Ｂ（10単位）共通
中国語の基礎力を身につけるべく、1年次は以下の具体的要素を定着させる。
- 声調符号を含めたピンイン表記の読み書き。
- 初学段階で最低限必要とされる単語と構文の理解。
- 簡単な中国語表現の聴解。
- 身につけた単語や文法を駆使した自己表現。",授業内容の予習・復習は当然のことであるが、さらに具体的な内容についてはクラスごとに教場で担当教員から指示がある。,クラスによって異なるので、開講時に担当教員から指示がある。,"教科書：『よくわかる初級中国語』白帝社
開講までにテキストを購入し、初回の授業には必ず持参すること。",辞書は教場で担当教員から指示がある。参考文献についても同様。,"試験・レポート・平常点等により評価を算出する。
具体的な算出については、クラス別に担当教員から報告される。
備考・関連URL",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000023C403202512000023C412
2025年度,法学部,中国語初級 II（演習） ６Ｃ,潘 藝梅,秋学期  水２時限,未習外国語 中国語(初級),１年以上,1,１０-２０６,"早稲田
科目キー  12000023C4  科目クラスコード  06",指定なし,"【対面】
  コース・コード  LANC101F
大分野名称  語学
中分野名称  中国語
小分野名称  中国語",初級レベル（入門・導入）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",,"◇未習中国語 外国語Ａ（8単位）／未習中国語 外国語Ｂ（10単位）共通
- 日本人教員による「基礎」（週2）と中国人教員による「演習」（週1）の計3コマを受講する。
- 中国語の基礎力の定着をめざすべく、口頭表現の訓練に重点を置き、発音の練習や文法・単語の学習を進める。
※2年次「中級」に進級した際の学修の連繋について
- 外国語Ａ：２年次の中級では、日本人教員もしくは中国人教員によるテーマ別科目を各自が週1コマ選択履修する。
- 外国語Ｂ：初～中級を2年間同一クラスで学ぶ一貫コース。
 ２年次は日本人教員による「総合」（週1）と中国人教員による「コミュニケーション」（週1）の計2コマを受講する。","◇未習中国語 外国語Ａ（8単位）／未習中国語 外国語Ｂ（10単位）共通
中国語の基礎力を身につけるべく、1年次は以下の具体的要素を定着させる。
- 声調符号を含めたピンイン表記の読み書き。
- 初学段階で最低限必要とされる単語と構文の理解。
- 簡単な中国語表現の聴解。
- 身につけた単語や文法を駆使した自己表現。",授業内容の予習・復習は当然のことであるが、さらに具体的な内容についてはクラスごとに教場で担当教員から指示がある。,クラスによって異なるので、開講時に担当教員から指示がある。,"教科書は、クラスによって異なるので、生協の教科書購入サイトで確認のこと。初回の授業には必ず持参すること。
https://www.wcoop.ne.jp/start/waseda/textbook/book.html",辞書は教場で担当教員から指示がある。参考文献についても同様。,"試験・レポート・平常点等により評価を算出する。
具体的な算出については、クラス別に担当教員から報告される。
備考・関連URL",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000023C406202512000023C412開講年度
2025年度,法学部,露語初級 II（演習） １Ｒ,Ｖ．フィラトフ,秋学期  水２時限,未習外国語 露語(初級),１年以上,1,８-Ｂ１０６,"早稲田
科目キー  12000023D4  科目クラスコード  01",指定なし,"【対面】
  コース・コード  LANR101F
大分野名称  語学
中分野名称  ロシア語
小分野名称  ロシア語",初級レベル（入門・導入）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",ロシア語で複眼的視点を手に入れよう,"世界には様々な情報が飛び交っています。その中から正しい情報を捉え、正確に読み解くには、複眼的な視点が必要です。日本人は自国と欧州のメディアを通して世界を見ています。しかし、そこからはロシアなど異なる世界観を持つ国々の視点からの情報を読み取ることはできません。情報が偏れば世界を正しく捉えることはできません。ロシアからの情報にはインターネットを通して簡単にアプローチできます。しかし、日本ではロシア語を理解する人は少なく、その機会を利用できていません。ロシア語を知る日本人は希少価値です。この希少価値という特権を手に入れ世界を複眼的に見る視点を養う──この授業がまずそのスタートとなります。
春学期に初級（基礎） I と初級（演習） I 、秋学期に初級（基礎） II と初級（演習） II を受講します。初級（基礎） I・II は日本人教師が担当し、文法を中心に学びます。初級（演習） I・II ロシア語ネイティブスピーカーによる授業で、日常会話を中心に生きたロシア語を学びます。","ロシア語は文法体系がきわめて明確な言語です。名詞、代名詞、形容詞など多くの品詞が、主語や目的語といった文中の役割に応じで語尾変化し、動詞は主語に応じて語尾を変えます。語尾の形を聞いたり、見たりすれば、文の構造を間違いようがなく理解できるのです。文法体系さえ捉えてしまえば、ロシア語は分かり易い言語です。初級（基礎） I・II でその文法体系を習得し、辞書を使えばロシア語が読み書きできるようになることを目指します。単なる文法説明の例文ではなく、実際に使える文で文法を学んでいきます。
ロシア語は美しい響きをもつ言葉だと言われています。文字のもつ音だけでなく、ロシア語の特徴である強弱アクセントと語尾変化にも理由があります。語尾変化と音の流れには密接な関係があり、それがロシア語特有のメロディアスな響きを生み出しているのです。初級（演習） I・II では、簡単な日常会話ができるようになることを目指すとともに、詩や歌のテキストを使って、ロシア語の美しい響きを聞き取る耳を養います。",外国語の学習には、何語であれ、辞書を用いた事前の予習がなければ、上達はありません。,"初級（基礎） I
第1回：オリエンテーション／第2－4回：文字と発音／第5－9回：第1課、練習問題／第10－14回：第2課、練習問題／第15－19回：第3課、練習問題／第20－24回：第4課、練習問題／第25－29回：第5課、練習問題／第30回：理解度の確認（試験）
初級（基礎） II
第1－5回：第6課、練習問題／第6－11回：第7課、練習問題／第12－17回：第8課、練習問題／第18－23回：第9課、練習問題／第24回－29回：第10課、練習問題／第30回：理解度の確認（試験）
（練習問題はプリントで配布。受講者の理解度によって授業の進み具合にはズレが生じることがあります）
初級（演習） I・II
基本的には、教科書に沿って授業を進めていきますが、随時、映像や音声資料を活用し、詩や歌などを挟みながら受講者が生きたロシア語に触れる機会をできるだけたくさんもうけます。担当教員が、受講者の理解度に応じて教材の選択、費やす時間などを決めるため、授業スケジュールは受講者次第で変わります。春学期、秋学期とも最後の授業時間に理解度の確認（試験）を行ないます。",に沿って授業を進めていきますが、随時、映像や音声資料を活用し、詩や歌などを挟みながら受講者が生きたロシア語に触れる機会をできるだけたくさんもうけます。担当教員が、受講者の理解度に応じて教材の選択、費やす時間などを決めるため、授業スケジュールは受講者次第で変わります。春学期、秋学期とも最後の授業時間に理解度の確認（試験）を行ないます。,"研究社露和辞典／岩波ロシア語辞典／博友社ロシア語辞典／コンサイス露和辞典／プログレッシブロシア語辞典
研究社和露辞典／コンサイス和露辞典
現代ロシア語文法（城田俊著、東洋書店）","割合  評価基準
試験:  50％  学期末に教場試験を行なう
平常点評価:  50％  出席状況、授業中の学習態度などから総合的に評価する",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000023D401202512000023D412
2025年度,法学部,西語初級 II（基礎） ４Ｓ,石田 智恵,秋学期  01:月３時限／02:水２時限,未習外国語 西語(初級),１年以上,2,01:８-Ｂ１０５／02:８-４０１,"早稲田
科目キー  12000023E2  科目クラスコード  04",指定なし,"【対面】
  コース・コード  LANS201F
大分野名称  語学
中分野名称  スペイン語
小分野名称  スペイン語",中級レベル（発展・応用）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",,"西語未習コースは、１年次秋学期にこの「西語初級Ⅱ（基礎）」（週２コマ）と「西語初級Ⅱ（演習）」（週１コマ）を同一クラス（上記「科目名」の「○S」）で受講します。
西語初級Ⅱ（基礎）の授業では、スペイン語文法理解と読解に重点を置きます。名詞の「性」、形容詞の語尾変化、動詞の活用など、英語にはない文法的特徴に注意しながらひとつずつ知識・理解を積み上げていきます。
西語初級Ⅱ（演習）の授業では、ネイティヴ教員による口頭演習に重点が置かれます。（基礎）で身に着けた語彙や理論、仕組みの知識を実用的に会話の環境のなかで学びます。","・「授業計画」の項目の文法・語法を習得し、使い分けることができる
・習得した文法、語彙、表現を用いて簡単なスペイン語の会話ができる",宿題の有無にかかわらず次回の学習箇所の予習（語句の意味を辞書で引くなど）、各回の学習内容の復習は常に行なうこと。語学の習得には反復による蓄積が不可欠です。とくに動詞の活用形など理屈なく身に着けるほかないものは繰り返し声に出して覚えること。詳細は各クラス担当教員から指示します。,"」の項目の文法・語法を習得し、使い分けることができる
・習得した文法、語彙、表現を用いて簡単なスペイン語の会話ができる",によって変わる可能性がある。ただし一年間で到達を目指すレベルに差異はない。,各クラスの担当教員が指示する ※辞書は必ず入手すること,"割合  評価基準
試験:  70％  中間試験・期末試験など。実施方法等については各クラスの担当教員が指示する。
レポート:  各クラスの担当教員の指示に従うこと
平常点評価:  30％  授業参加状況、課題等 ※ただし割合は目安であり、クラスにより異なることがある。
その他:  各クラスの担当教員の指示に従うこと","授業開始時に、おおまかな進度やテスト予定日などのスケジュール、教科書、辞書などについて担当教員から案内します。
原則として欠席回数が総授業回数の3分の2を超えた場合、履修の意志なしとみなし、成績評価しません。授業に出席すること自体は評価の対象ではありません（評価の要件です）ので、出席の度合いと、評価の結果としての成績・合否は無関係です。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000023E204202512000023E212"
2025年度,法学部,仏語中級 I（表現演習） ５（秋）,Ｃ．パジェス,秋学期  水２時限,既習外国語 仏語(中級I),１年以上,1,１０-２０２,"早稲田
科目キー  12000024B8  科目クラスコード  05",指定なし,"【対面】
  コース・コード  LANF201F
大分野名称  語学
中分野名称  フランス語
小分野名称  フランス語",中級レベル（発展・応用）,"外国語
シラバス情報","フランス語コミュニケーション：文化、会話
Z世代のフランスの若者のインタビューを見る・聞く・読む・話す","この授業ではフランスの若者の関心や時事的なテーマについて、インタビューを見たり、関連するフランス語の文章の読解を通して、フランスの政治・社会・文化に関する知識を身につけるとともに、フランス語の総合力を伸ばすことを目指します。
具体的には、ソーシャルメディア、趣味、住居、環境問題、ファッション、仕事、予算などが取り上げられます。
YouTubeの動画と共に教科書を使用します。
動画を見ることによって、若いフランス人の話し方や彼らの使う語彙を学び、実際の会話に役立てます。
必要に応じて文法の要素を学びます。
動画を見た後は、教科書の演習をチームで行います。
授業計画はあくまで目安であり、進行状況によって変わる可能性があります。","• フランスおよび他のフランス語圏の国に関連する社会または文化のテーマを発見する。
• 新しい語彙を身につける。
• 文法を復習する。
• フランス語で自分の意見を発表する。
• チームで協力する。","各授業前に、教科書の該当レッスンに目を通し、授業で学ぶ内容を把握しておくこと。
Vocabulaire(語彙）の箇所を予習し、前回授業で習ったことは各自で復習を行なうこと。
準備学習に30分ほどかかります。",はあくまで目安であり、進行状況によって変わる可能性があります。,"を使用します。
動画を見ることによって、若いフランス人の話し方や彼らの使う語彙を学び、実際の会話に役立てます。
必要に応じて文法の要素を学びます。
動画を見た後は、教科書の演習をチームで行います。
授業計画はあくまで目安であり、進行状況によって変わる可能性があります。",,"割合  評価基準
平常点評価:  100％  授業内での小テストと、宿題の提出、授業への積極的参加","受講者数は３０名までです。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000024B805202512000024B812開講年度"
2025年度,法学部,中国語中級 I（講読演習） １（秋）,石 碩,秋学期  水２時限,既習外国語 中国語(中級I),１年以上,1,１０-３０３,"早稲田
科目キー  12000024CD  科目クラスコード  01",指定なし,"【対面】
  コース・コード  LANC201F
大分野名称  語学
中分野名称  中国語
小分野名称  中国語",中級レベル（発展・応用）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",,時事問題をテーマとする文章の読解を通して、現代中国の社会や文化について理解を深めます。補助教材として、新聞記事・ブログなどを取り上げます。,"中級レベルの中国語の語彙や文法を修得することを目標とします。
また、中国で起きている諸問題を知り、考え。調査することで、異文化コミュニケーションで必要とされる理解力・洞察力を鍛えます。",授業内で指示します。（予習・復習：２時間ずつ目安）,"1:
第1回
オリエンテーション
2:
第2回
第八課 本文読解／練習問題
3:
第3回
第八課 補助教材読解／発表
4:
第4回
第九課 本文読解／練習問題
5:
第5回
第九課 補助教材読解／発表
6:
第6回
第十課 本文読解／練習問題
7:
第7回
第十課 補助教材読解／発表
8:
第8回
第十一課 本文読解／練習問題
9:
第9回
第十一課 補助教材読解／発表
10:
第10回
第十二課 本文読解／練習問題
11:
第11回
第十二課 補助教材読解／発表
12:
第12回
第十三課 本文読解／練習問題
13:
第13回
第十三課 補助教材読解／発表
14:
第14回
補助教材読解／発表","『時事中国語の教科書』2025年度版（朝日出版社）
 補助教材は教場で配布します。",教場で指示します。,"割合  評価基準
試験:  60％  試験
レポート:  0％  なし
平常点評価:  40％  出席、応答・発言の積極性、宿題などを評価に加える
その他:  0％  なし",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000024CD01202512000024CD12
