開講年度,開講箇所,科目名,担当教員,学期曜日時限,科目区分,配当年次,単位数,使用教室,キャンパス,授業で使用する言語,授業方法区分,レベル,授業形態,副題,授業概要,授業の到達目標,事前・事後学習の内容,授業計画,教科書,参考文献,成績評価方法,備考・関連URL
2025年度,法学部,主専攻法学演習（刑事法） Ｃ （秋）,酒巻 匡,秋学期  木４時限,主専攻法学演習,２年以上,2,８-４０６,"早稲田
科目キー  1200007C12  科目クラスコード  03",日本語,"【対面】
  コース・コード  LAWC331S
大分野名称  法学
中分野名称  刑事法
小分野名称  刑事訴訟法",上級レベル,"演習／ゼミ
シラバス情報
最終更新日時：2025/03/03 09:28:18",刑事訴訟法の解釈・適用に関する重要判例の検討,"指定教科書『刑事訴訟法判例百選』に掲載された刑事訴訟法の解釈・適用に関する重要な判例を選別し、毎回、その事実関係とこれに適用された法規条項、裁判所の法解釈の内容について熟読し、その理解を深めるための議論を行う。
 具体的な進行方法は追って指示するが、受講者全員が、指定された判例の事実と判文をあらかじめ熟読してくることを前提として授業を進める。",刑事訴訟法やその前提となる憲法の条項を、実際の事件について解釈・適用した判例を素材として、その内容を子細に読解することを通じて、法学部における実定法（法解釈学）専門科目に共通した到達目標である、具体的な事実関係に対する法の解釈適用の能力（「事案処理」の能力)の基礎を体得することを目標とする。,"事前学習は、授業で検討予定の判例の事実関係と判示内容を熟読すること。併せて、そこで解釈適用された刑事訴訟法等の条文とこれに対応する基本的教科書（参考文献参照）の該当部分を読んでくること。
 事後学習は、検討した判例の理解を確認するため、再度、関連条文とこれに対応する基本的教科書の該当部分を読むと共に、教員の指示した判例百選の解説等を読むこと。","1:
第１回 導入講義
オリエンテーション（本講義の目的と概要） ／ 本講義の目的と概要について説明する。
2:
第２回 任意捜査と強制捜査Ⅰ
百選1事件 強制処分と任意処分の限界
3:
第３回 任意捜査と強制捜査Ⅱ
百選31事件 GPS捜査
4:
第４回 任意捜査と強制捜査Ⅲ
百選9事件 写真・ビデオ撮影、 百選30事件 梱包内容のエックス線検査
5:
第５回 逮捕・勾留
百選18事件 別件逮捕・勾留と余罪取調べ
6:
第６回 捜索・差押えⅠ
百選21事件 令状による捜索の範囲（1）
7:
第７回 捜索・差押えⅡ
百選23事件 令状による差押え（1）
8:
第８回 強制採尿
百選28事件 強制採尿 、百選29事件 採尿令状による連行
9:
第９回 違法収集証拠排除法則
百選88事件 証拠排除の要件
10:
第１０回 自白法則
百選68事件 約束による自白、 百選69事件 偽計による自白
11:
第１１回 伝聞法則Ⅰ
百選78事件 伝聞の意義
12:
第１２回 伝聞法則Ⅱ
百選82事件 犯行状況等の再現結果を記録した実況調書調書
13:
第１３回 伝聞法則Ⅲ
百選85事件 証明力を争う証拠
14:
第14回 まとめ
全体のまとめと判例学習の意義再説","『刑事訴訟法判例百選』に掲載された刑事訴訟法の解釈・適用に関する重要な判例を選別し、毎回、その事実関係とこれに適用された法規条項、裁判所の法解釈の内容について熟読し、その理解を深めるための議論を行う。
 具体的な進行方法は追って指示するが、受講者全員が、指定された判例の事実と判文をあらかじめ熟読してくることを前提として授業を進める。","参照）の該当部分を読んでくること。
 事後学習は、検討した判例の理解を確認するため、再度、関連条文とこれに対応する基本的教科書の該当部分を読むと共に、教員の指示した判例百選の解説等を読むこと。","割合  評価基準
レポート:  30％  授業で扱った事項に関連するテーマについて、テーマ選定の理由、調査検討の内容、それらを適切に言語化し説明記述する能力を評価する。
平常点評価:  70％  授業参加への真摯性・積極性の程度、事前準備の程度、法的議論の理解度等を総合考慮する。","法学部専門科目「刑事訴訟法」を履修中または履修予定であることが望ましい。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1200007C120320251200007C1212開講年度"
2025年度,法学部,主専攻法学演習（刑事法） Ｆ （秋）,田山 聡美,秋学期  木４時限,主専攻法学演習,２年以上,2,８-４０８,"早稲田
科目キー  1200007C12  科目クラスコード  06",日本語,"【対面】
  コース・コード  LAWC311S
大分野名称  法学
中分野名称  刑事法
小分野名称  刑法",上級レベル,"演習／ゼミ
シラバス情報
最終更新日時：2025/03/03 09:28:18",,各回、報告担当者を決めて、その報告をベースに全員で議論を行うことを予定している。判例・学術論文・演習問題等を素材とするほか、ゼミ論文を見据えた研究の中間報告なども可能である。分野は、基本的には刑法総論・各論の解釈論が中心となるが、それよりもやや広がりを持ったテーマを扱うことも歓迎する。自分から積極的にテーマを見つけ、主体的に学ぶことの楽しさを味わってほしい。また、議論を通じて他者を説得する技術や、他者との議論の末に自説を適切に修正していく柔軟さなども身につけてほしい。,"刑事法に関する幅広い知識を得て、体系的・論理的な思考ができるようになる。
社会に生起する問題を多面的に捉え、批判的に分析することができるようになる。
問題解決に向けて、他者との意思疎通、相互理解を図ることができるようになる。",報告担当者は、事前に報告用資料をMoodleに掲載する。他のゼミ生は、あらかじめそれに目を通し、問題点を把握してから議論に臨むこと。,"初回に進行方法の説明と、担当の割り当てを行う。
2回目以降、各回の担当者は、自分に割り当てられた時間を自由に使って、好きなことをやってよい。ゼミ論文に向けた研究発表、興味を持った判例や学術論文についての分析などのほか、演習問題を提供して一緒に議論するのもよい。いずれにせよ、刑事法の範囲内で興味のあるテーマを見つけ、自分でゼミを盛り上げる努力をすることが課題となる。
希望によっては、刑事裁判資料を教材として、検察側・弁護側に分かれて模擬裁判的なことにも挑戦してみたい。",特に指定はしない。,必要に応じ、適宜、授業中に指示する。,"割合  評価基準
レポート:  40％  個人の担当発表への取り組み
平常点評価:  60％  毎回の議論への参加状況や貢献度など","ゼミは、将来にわたって付き合える貴重な友人を作る場としても重要である。是非とも、ゼミ生同士の楽しく有意義な交流の場としてほしい。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1200007C120620251200007C1212"
2025年度,法学部,主専攻法学演習（刑事法） Ｑ （秋）,杉本 一敏,秋学期  木４時限,主専攻法学演習,２年以上,2,７-２１２,"早稲田
科目キー  1200007C12  科目クラスコード  17",日本語,"【対面】
  コース・コード  LAWC311S
大分野名称  法学
中分野名称  刑事法
小分野名称  刑法",上級レベル,"演習／ゼミ
シラバス情報
最終更新日時：2025/03/03 09:28:18",刑法上の事案・判例についての理論的検討,春学期から引き続き、刑法総論・各論の重要論点に関する判例、又は、最新の判例等を素材にして、立論・議論をしてもらい、刑法理論についての理解を深める。刑法の「学説」についても、そのつど自分の好きなものを自由に主張・擁護してもらい、自由に討論してもらうことで、刑法上の論点に対して多角的な見方ができるようになることを目指す。また他方で、「判例」という制度に内在する論理、「判例」というものに対する見方・接し方それ自体や、判例と学説との関係についても自覚的に考えてみたい。,刑法総論・各論の論点について、自分の考え方に基づいて議論し、判例・学説について検討を加えることができるようになることを目標とする。,事前に配布資料を読むこと、また、報告担当にあたっては、報告担当判例、関連文献を十分読んで検討・整理し、報告内容をまとめ、レジュメを作成することを求める。,"※進め方の詳細については初回の際に提案し、登録者と相談の上で決めることにしたい。
第1回 オリエンテーション
第2回～第13回 報告・議論
 (とり上げるテーマ・内容については受講者と相談のうえ決定する。)
第14回 まとめ",現時点では特に指定しない。報告等に際しては、適宜、文献・資料の収集と読み込みを行ってもらうことになる。,教室で必要に応じて指示する。,"割合  評価基準
平常点評価:  100％  報告担当回の報告・立論、議論への参加、出欠、遅刻の有無等、平常点によって評価する。
備考・関連URL",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1200007C121720251200007C1212開講年度
2025年度,法学部,主専攻法学演習（国際法） Ｂ （秋）,古谷 修一,秋学期  木４時限,主専攻法学演習,２年以上,2,８-３１２,"早稲田
科目キー  1200007D12  科目クラスコード  02",日本語,"【対面】
  コース・コード  LAWE311S
大分野名称  法学
中分野名称  国際法
小分野名称  国際公法",上級レベル,"演習／ゼミ
シラバス情報
最終更新日時：2025/03/03 09:28:18",,"この演習は、国際社会のさまざまな事象に対して、国際法がどのように機能しているのかを、判例、国家実行、事例の検討などを通して理解することを目的としています。
 国際法は国際社会において機能する法制度です。国境を越えたヒト・モノ・カネの頻繁な移動は、私たちの生活を国際化し、国際法が適用される分野はますます拡大する傾向にあります。いわゆるグロ-バリゼ-ションの潮流によって、国内の法制度においても国際法を考慮することが求められています。他方、民族対立・内戦等の理由で国家の統治機能が十分に働かず、国際社会の援助なしでは、住民の生命・財産を保持できないような国家も増えてきています。名前は国家ですが、内実は国家の体を成さず、主権という堅固な殻が内側から溶解している場合も見られます。また、国際的なテロ組織に代表されるように、国家とは異質な活動体が重要な意味を持ってきているのも、国際関係の新たな特徴です。
 この演習では、こうした複雑な国際社会の現状を、様々な角度から切り取って、楽しく勉強していきたいと考えています。12月までの秋学期の前半は、赤十字国際委員会・香港赤十字社が主催する「国際人道法模擬裁判大会」の日本予選に出場するための準備が中心になります。国際刑事裁判所などを想定したフィクションの事例を使い、準備書面の作成と口頭弁論を行います。後半は、国際法に関する演習事例の教材に、２～３人のグループによる報告と全員による議論を行います。",この演習では、国際法の基礎的な内容について理解するとともに、具体的な事例に即して、論理的な議論を組み立て、それを文章・口頭で表現できる能力を身につけることを目標とします。,模擬裁判の準備や演習事例の検討には、授業時間外において判例や事例を調べるなどの学習が求められます。,"[第 1回]  ガイダンス・模擬裁判の書面準備（１）
[第 2回]  模擬裁判の書面準備（２）
[第 3回]  模擬裁判の書面準備（３）
[第 4回]  模擬裁判の書面準備（４）
[第 5回]  模擬裁判の書面準備（５）
[第 6回]  模擬裁判の弁論準備（１）
[第 7回]  模擬裁判の弁論準備（２）
[第 8回]  模擬裁判の弁論準備（３）
[第 9回]  模擬裁判の弁論準備（４）
[第10回]  国際法演習事例の検討（１）
[第11回] 国際法演習事例の検討（２）
[第12回] 国際法演習事例の検討（３）
[第13回]  国際法演習事例の検討（４）
[第14回]  国際法演習事例の検討（５）",特にありません。ただし、条約集は必携です。,参考文献等は、各判例・事例に応じて適宜指示します。,模擬裁判の準備への積極的な参加や演習事例の報告の内容を評価します。,"秋学期授業開始直前の９月下旬に、２泊３日のゼミ合宿を行い、模擬裁判の準備を開始する予定です。合宿は２年生の新ゼミ生相互、３年生との間の親睦を図ることも目的になります。
【その他】
 ゼミＯＢは、法務省・外務省・総務省・国土交通省・財務省など国際法に関連する国家公務員、国際開発に関わる独立行政法人、新聞社・通信社・放送局などのマスコミ、商社・航空・海運・石油開発などの国際的な業種に就職するとともに、法科大学院に進学して国際関係の法務を目指す者もいます。また、学部在学中または卒業直後に外国留学をする学生が多いのも、このゼミの特徴です。漠然とでも留学を考えている人、国際的な仕事をしたいと希望している人は大歓迎です。
 なお、国際法の講義をすでに受講しているかは問いません。国際法の基礎的な理解については、ゼミを通して学習することができますので、国際法をまったく勉強したことのない人でも大丈夫です。
 広い世界に挑戦する意気込みのある方が集まることを期待しています。なお、ゼミについて質問があれば、遠慮なくメ-ルをください（sfuruya@waseda.jp）。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1200007D120220251200007D1212"
2025年度,法学部,主専攻法学演習（憲法） Ｄ （秋）,中島 徹,秋学期  木４時限,主専攻法学演習,２年以上,2,８-３０９,"早稲田
科目キー  1200007E12  科目クラスコード  04",日本語,"【対面】
  コース・コード  LAWA311S
大分野名称  法学
中分野名称  公法
小分野名称  憲法",上級レベル,"演習／ゼミ
シラバス情報
最終更新日時：2025/03/03 09:28:18",,演習は、講義で獲得した知識を応用する場です。これは当然のことですが、意外に実現できていません。せっかく獲得した知識を、現実社会で生起する問題に即して、具体化できないのです。「自己決定権」を例に考えてみましょう。「自己決定権」の内容は、自分に関する事柄について自分で決めることができ、その決定について政府や他人から干渉されないこと、他方、その結果についての責任を負うこと、と通常理解されています。これを抽象的に当てはめると、我々が現在置かれている状況は、過去における自己決定の総和であり、全ては自己責任の対象ということになりかねません。仮にそうであるとすると、何のために政府はあるのでしょうか？仮にあなたがジャーナリストだとします。海外の紛争地域に取材に行き、紛争に巻き込まれてしまって人質になってしまった場合に、そんなところに行くおまえが悪い、自己責任だ、政府に救出を求めるな、ということになるでしょうか？海外渡航の際に必要なパスポートの身分証明のところには、いったいなんて書いてあるでしょう？そして、憲法22条は、海外渡航について何と規定しているでしょう？憲法は政府との契約文書です。政府は税金を取るけれど、あとは何もしないとしたら、そんな政府はいりません。では、上記の場合、政府はいかなる責任を負うでしょう？あなたは、この問いにどう答えますか？,講義で獲得した知識を活用して、社会で生起している様々な憲法現象を分析することで、問題の所在を明らかにし、よりよい社会のための解決策を模索することを目標とします。,皆さんが関心を持つテーマについてレポートを作成してもらうことがあります。また、ゼミ後に報告内容の検証を行うことも必要です（現在は、フィードバックという形式で行っています）。,演習の具体的な進め方は受講生と相談して決定します。,特に指定はしません。,各テ-マの検討に必要な文献については、報告者からの情報提供を中心に、教員からも随時示していきます。,"割合  評価基準
平常点評価:  90％  報告及び発言
その他:  10％  10","【その他】
 いうまでもないことですが、ゼミの活性化に熱意を持ってあたる学生の参加を切に希望します。
【評価方法】
 授業中の発言や報告その他演習への寄与度に応じて評価を行います。試験は実施しません。ただし、ゼミ全体の成果をまとめるために、各自にレポ-トを作成してもらうことがあるかもしれません。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1200007E120420251200007E1212"
2025年度,法学部,主専攻法学演習（憲法） Ｆ （秋）,愛敬 浩二,秋学期  木４時限,主専攻法学演習,２年以上,2,１１-８１３,"早稲田
科目キー  1200007E12  科目クラスコード  06",日本語,"【対面】
  コース・コード  LAWA311S
大分野名称  法学
中分野名称  公法
小分野名称  憲法",上級レベル,"演習／ゼミ
シラバス情報
最終更新日時：2025/03/03 09:28:18",,"講義で修得した憲法の基礎知識に関する理解を、憲法の基本判例を中心にして具体的な事件・新しい問題の検討を通じて深めることが、この演習の目的です。憲法的思考力を鍛えるためには、特定の領域につい、基礎理論、憲法史、比較憲法、及び社会実態に関する理解を深め、自らの力で憲法解釈や憲法政策を提示し、担当教員やゼミの仲間からの質問等に答えつつ、必要に応じて考え直していくことが必要です。この演習では、j実際の政治問題・社会問題を素材にして、上に述べたような学習を行います。
また、秋学期のゼミでは、憲法に関わる現代的事象への視野を広げるため、政治・経済・法・社会・国際関係等に関わる新書を素材として議論する。",講義で修得した憲法の基礎知識を活用して、日本と世界で生起している憲法問題を分析し、法的に望ましい解決を自分の頭で考え抜くことを通じて、憲法的思考力を鍛錬する。,報告担当者は十分な準備が必要になります。報告者以外の参加者も、教科書等の該当箇所や関連判例を予習しておくことが期待されます。各回の予習は、一般の参加者が90分程度、報告者はそれ以上の時間がかかると想定されます。,"この演習では、長谷部恭男ほか編『憲法判例百選Ⅰ（第７版）』を共通のテキストとしつつ、新聞記事やその他参考資料を素材として、日本と世界で生起している憲法に関わる様々な問題を多方面から検討します。秋学期のこの演習においては、前掲のテキストを使った春学期の演習の成果を踏まえて、受講者各自が新しい憲法問題を見つけて、自分の力で思考を深めていくことが期待されています。ゼミで取り上げる新書の選定を含めて、授業の詳細については、受講者と相談の上で決定します。
授業実施方法：対面での講義を原則としつつ、状況に応じてリアルタイム配信を併用する。ただし、状況によって受講生と相談の上、授業実施方法を変更する。",等の該当箇所や関連判例を予習しておくことが期待されます。各回の予習は、一般の参加者が90分程度、報告者はそれ以上の時間がかかると想定されます。,各自の使用する憲法の教科書。なお、長谷部恭男ほか編『憲法判例百選Ⅱ（第７版）』も手元にあることが望ましい。,"割合  評価基準
平常点評価:  100％  報告と発言","参加人数にもよるが、各自の報告回数は２～３回程度になるものと思われる。また、担当者の報告に基づいて参加者全員で議論するので、積極的な発言が期待される。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1200007E120620251200007E1212"
2025年度,法学部,主専攻法学演習（商法） Ｉ （秋）,鳥山 恭一,秋学期  木４時限,主専攻法学演習,２年以上,2,８-３０８,"早稲田
科目キー  1200007F12  科目クラスコード  09",日本語,"【対面】
  コース・コード  LAWB321S
大分野名称  法学
中分野名称  民事法
小分野名称  商法",上級レベル,"演習／ゼミ
シラバス情報
最終更新日時：2025/03/03 09:28:18",,"本ゼミは、教室において行ないます。
本ゼミは企業法を対象にしており、具体的には、会社法を中心にした企業組織法と、株式･社債その他の有価証券に関わる企業金融法を研究対象にしています。
現代の社会に働く者にとって、企業に関する知識は不可欠です。コーポレート・ガバナンス、ストック・オプション、多重代表訴訟、敵対的買収、社外取締役、監査等委員会設置会社など、最近の新聞を賑わせている言葉に諸君も接したことがあるとおもいます。現代経済の主たる担い手として、株式会社組織の企業が現われています。会社組織は同時に資金調達の組織であり、企業法は、企業の組織運営と活動に規律を与えるものです。企業活動のダイナミズムとそこで法の正義を実現させる要請とが緊張関係をもって対峙しせめぎあっている領域が企業法なのです。",受講者に会社法についての一通りの理解を修得してもらうことを目標にします。,毎回の予習および復習がもちろん必要になります。,"毎回、受講者の報告にもとづいて議論をします。
 授業には必ず、（スマホにはいっているものではなく）現物の六法（コンパクト六法）を持参すること。",特に指定しません。,授業中に随時指定します。,"出席ならびに授業内での報告および発言を総合評価します。
備考・関連URL",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1200007F120920251200007F1212開講年度
2025年度,法学部,主専攻法学演習（海商法） （秋）,箱井 崇史,秋学期  木４時限,主専攻法学演習,２年以上,2,８-３１３,"早稲田
科目キー  1200007F22  科目クラスコード  01",日本語,"【対面】
  コース・コード  LAWB321S
大分野名称  法学
中分野名称  民事法
小分野名称  商法",上級レベル,"演習／ゼミ
シラバス情報
最終更新日時：2025/03/03 09:28:18",国際商取引法・国際海上物品運送,「海商法」、「国際商取引法」といっても、２年生のみなさんにはイメ-ジがわかないかもしれません。海商法は、島国であるわが国にとって生命線ともいえる海上運送を中心とした海上活動を対象とする法分野で、古代・中世からの航海の歴史と重なる長い伝統をもつと同時に、生まれながらに国際的な性質をもっています。そして、海運会社はもちろん、銀行、商社、保険会社、その他メ-カ-など輸出入関連企業の実務にも密接に関連している、古くて新しく国際的な法領域です。このゼミは、具体的な事例を通して生きた現代海商法のおもしろさに触れながら、海商法の基本の理解と、あわせて論理的な思考やプレゼンテーションのスキルを身につけられるよう指導します。,"海商法に関する知識の習得や理解はもちろんですが、それ以前に、特定のテーマについて、資料を探索し、問題状況を理解し、これを整理してきちんとプレゼンテーションをするという、基本的なスキルを身につけてほしいと思います。
 これは、どのような進路を選択するにせよ、法学部出身者として期待されるところであると考えます。","3・4年生は、2年生向けレクチャーのための十分な事前準備が必要です。2年生は、レクチャー部分については特に予習はいりません。復習は各自の理解度に応じて行ってください。
英文約款研究では、2年生は、3・4年生の指導の下で十分な報告準備と資料作成を行ってください。復習は必要ありませんが、英文契約書に関心をもって、参考書などでの自習や関連講義の履修に向かいたい者があれば相談に応じます。
判例研究は、3年生に報告をしてもらいます。全員、事前配布判例を読み込んでから参加してください。","1:
第１回
ガイダンス・資料説明
2:
第２回
国際海上物品運送法概説１
3:
第３回
国際海上物品運送法概説２
4:
第４回
国際海上物品運送法概説３
5:
第５回
国際海上物品運送法概説４
6:
第６回
国際海上物品運送法概説５
7:
第７回
英文船荷証券約款研究１
8:
第８回
英文船荷証券約款研究２
9:
第９回
英文船荷証券約款研究３
10:
第１０回
英文船荷証券約款研究４
11:
第１１回
英文船荷証券約款研究５
12:
第１２回
判例研究１
13:
第１３回
判例研究２
14:
第１４回
判例研究３","教科書は中村・箱井共著『海商法（第2版）』および箱井著『基本講義現代海商法（第4版）』を使用します。
六法はコンパクトなものでかまいませんが、必ず「国際海上物品運送法」の収録されているものを用意し、初回から持参してください。",テ-マごとに教室で紹介します。,"割合  評価基準
平常点評価:  100％  報告および討論への参加状況（発言）で評価します。","【その他】
 予備知識や語学力は問いませんが、法学部における専攻科目として海商法・国際商取引法の勉強に打ち込む熱意と、授業はもちろんグル-プ研究、合宿・コンパなどの課外活動への参加を最優先できることを応募の条件とします。渉外法務（弁護士・銀行・保険・商社など）、海上運送・航空運送・物流関係企業への就職を考えている学生、乗り物好きの学生の受講を歓迎します（卒業まで継続する気のない方の応募はお断りします）。
 ２年半を過ごすゼミの選択は、大学生活にとって重要なことですから、質問・相談があれば遠慮なく研究室に来てください（８号館1121号室：事前にメ-ルなどで連絡をしてもらえれば確実です。htaka@waseda.jp）。

関連URL:http://www.waseda.jp/sem-com-law/
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1200007F220120251200007F2212開講年度"
2025年度,法学部,主専攻法学演習（西洋法史） （秋）,藤野 奈津子,秋学期  木４時限,主専攻法学演習,２年以上,2,３-７１２（演習室）,"早稲田
科目キー  1200007G54  科目クラスコード  01",日本語,"【対面】
  コース・コード  LAWD321S
大分野名称  法学
中分野名称  基礎法
小分野名称  法制史",上級レベル,"演習／ゼミ
シラバス情報
最終更新日時：2025/03/03 09:28:18",西洋法史：法の源流をたずねるⅡ,"春学期（「西洋法史：法の源流をたずねるⅠ」）と同様に、明治期の法継受を通じ日本法に強い影響を与えることとなる西洋法、とりわけヨーロッパ大陸法の起源とその歴史的変遷について個別のテーマから丹念にたずねていく。具体的には西洋法史にかんするテキスト（和文および欧文：英語を予定しているがドイツ語・フランス語など受講者の希望により他の言語を選択することも可能）をベースに、西洋法史をめぐる諸テーマについて議論を重ねながら理解を深める。
議論はテキストの輪読あるいはテキストの内容を担当者が報告することからはじめ、各テーマ（あるいは単元）ごとに、資料および補足の論文等（和文・欧文）を用いて行う。これらの過程を通じ、西洋法および日本法の源流に直接触れるとともに、ゼミ生自身の発案を取り入れつつ各自がより興味をもって西洋の法の歴史について学べる仕組みを共に工夫していきたい。","テキスト・資料等を踏まえた議論によって法の歴史をより深く知り、現在のわれわれの法についてさまざまな視点・観点から理解する機会を得ることを第一の目標とする。
ゼミナール形式の授業を通じ、参加者が互いに意見を交換しあうことで、自ら考える主体的な学びの機会を得、また自身の考えを相手に伝える技術を磨くことも同時に目指したい。","テキスト・資料等はすべて事前に配布する。
報告の担当となった者は該当箇所について十分な準備をし、他の参加者も必ず予習のうえで参加すること。
報告に関連する資料・文献等を授業中あるいは授業後に示すので、事後学習の素材とすること。","第１回：
オリエンテーション
①テキストを提示して概要を説明し
②ゼミの進め方等について参加者と相談する
第２回以降：
①担当者を決めテキストを読む、あるいはテキストの内容をレジュメにまとめて報告する
②論文等の関連・参考資料を読み込む
③テキストと論文等を関連させながらゼミ参加者全員で議論しテーマについて検討する
上記①～③を各単元あるいは一定テーマごとに繰り返しすことで、テキストを読むだけではなく、その内容を自ら考え身に付けていく","とくに指定はしない。
教科書等を使用する場合、和文あるいは英文のものを基本的とする予定だが、参加者の興味・関心およびテーマに応じ相談して決める。","小川浩三・松本尚子・宮坂渉 編『キーコンセプト法学史』（ミネルヴァ書房、2024年）
勝田有恒・森征一・山内進 編著『概説 西洋法制史』（ミネルヴァ書房、2004年）
碧海純一・伊藤正己・村上 淳一 編『法学史』（東京大学出版会、1976年）
P・スタイン（屋敷・関・藤本訳）『ローマ法とヨーロッパ』（ミネルヴァ書房、2003年）
K.・W・ネル（村上訳）『ヨーロッパ法史入門』（東京大学出版会、1997年）
※これら以外にも、内容・テーマに応じて参考文献を適宜紹介していく。","割合  評価基準
平常点評価:  100％  報告および議論への参加態度等から総合的に判断する。",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1200007G540120251200007G5412
2025年度,法学部,教養演習（中国語圏）Ｃ,土谷 彰男,秋学期  木４時限,教養演習,２年以上,2,８-４０５,"早稲田
科目キー  120000804C  科目クラスコード  01",日本語,"【対面】
  コース・コード  ARSB301S
大分野名称  地域研究
中分野名称  中国研究
小分野名称  概論",上級レベル,"演習／ゼミ
シラバス情報
最終更新日時：2025/03/03 09:28:18",中国の古代における人々とその文学,"中国古代の文学は、悠久の歴史のもと「漢賦・唐詩・宋詞・元曲」と言われるように各時代に頂点をなした文学からなり、このうち「唐詩」は唐代(618-907)において詩歌文学を中心と見るものであると同時に、唐代のみならず古典世界を代表するものとされています。我が国においても古くから「漢詩」として継承され、その名言佳句の数々は彼此を問わずその歴史や思想と相俟って、現在に至るまで我々の生活や生き方のなかに深く浸透しています。
それでは、どうして、中国の文学や思想、歴史が現代の我々まで影響を与えているのでしょうか。唐代の文学にはその作品の背後に当時の人々の様々な人生が映し出されており、後代の人々はそこから常に人の生みだす文学の包容力を見てとったからではないでしょうか。
寂寞と焦燥をうちに抱えながらも人生を大らかにうたい続けた詩仙李白(701-762)、その彼を仰慕するも不遇のうちに矜恃を見失うまいとした詩聖杜甫(712-770)、社会に対する抵抗姿勢を静かに言語芸術に組み替えてみせた詩仏王維(699-759))、王道楽土の伝統思想と混乱錯綜する社会矛盾の間で人間の限界を見た白居易(772-846)や柳宗元(773-819)。このように多彩ながら堅牢な古典世界から現代を照射してみるとき、我々はこの世界でどのような生き方を築いているのでしょうか。
本演習ではあくまでもこの唐代文学に軸足を置きつつ、中国古代の作品や史料などを幅広く捜集し読解することによって、中国古代に生きた人々とその具体的な営為を捉え、人物や作品が相互に映発しあうなかから文学や歴史・思想がどのように形作られてきたのか、その流れを見つめていきます。また、この際、人々の背後に存在する政治体制や社会経済に対して注意を払っていきたいと考えています。また、文献読解においては、中国語による「音読」の方法を用いることによって、「訓読」による「漢詩・漢文」と、外国文学としての「中国古典文学」との相異を理解していきたいと考えています。",中国古代の文学作品に対し関連する作品や史料の捜集・読解を通じて、古代中国の世界とその人間像について理解を深める。,事前に授業で取り扱う内容に関連する文献資料にあたって知識を整理し（2時間）、事後は授業を通じて得られた新たな知見を確認する（2時間）。,中国古代の文学作品や史料を中心として、先秦時代から現代までの文献、及びこれに関連する資料・論文などを取り扱います。授業は受講者に予め割り当てられた文献内容に対する調査活動とその発表を中心として展開されるので、受講者には意欲的に取り組むことを期待します。,必要な教材を適宜配付します。,必要な文献を適宜指示します。,受講者は与えられた課題に対して調査と発表を行い、その達成度に応じて評価します。また、テーマに対する発言の積極性を重視します。,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=120000804C012025120000804C12開講年度
